,,,,
Paper,Gene,Tissue,up/down regulated,link of paper
Gene expression in blood reflects smoking exposure among cancer-free women in the Norwegian Women and Cancer (NOWAC) postgenome cohort,SOD2 ,blood,up,
Gene expression in blood reflects smoking exposure among cancer-free women in the Norwegian Women and Cancer (NOWAC) postgenome cohort,CDKN1C,blood,up,
Ciggarette smoke induced differential gene expression in blood cells from monozygotic twin pairs,LRRN3,blood,up,
Smoking induces coordinated DNA methylation and gene expression changes in adipose tissue with consequences for metabolic health,CYP1B1,adipose,up,
Smoking induces coordinated DNA methylation and gene expression changes in adipose tissue with consequences for metabolic health,CYTL1,adipose,up,
Smoking induces coordinated DNA methylation and gene expression changes in adipose tissue with consequences for metabolic health,AHRR,adipose,up,
Smoking induces coordinated DNA methylation and gene expression changes in adipose tissue with consequences for metabolic health,CYP1A1,adipose,up,
Smoking induces coordinated DNA methylation and gene expression changes in adipose tissue with consequences for metabolic health,F2RL3,adipose,up,
Gene Expression Signature of Cigarette Smoking and Its Role in Lung Adenocarcinoma Development and Survival,NEK2,cartilage,up,
Gene Expression Signature of Cigarette Smoking and Its Role in Lung Adenocarcinoma Development and Survival,SX2IP,lung,up,
Gene Expression Signature of Cigarette Smoking and Its Role in Lung Adenocarcinoma Development and Survival,TTK,lung,up,
Gene Expression Signature of Cigarette Smoking and Its Role in Lung Adenocarcinoma Development and Survival,CYP1B1,lung,up,
Gene Expression Signature of Cigarette Smoking and Its Role in Lung Adenocarcinoma Development and Survival,CX3CR1,lung,down,
Expression of CYP1A1 gene in patients with lung cancer: evidence for cigarette smoke-induced gene expression in normal lung tissue and for altered gene regulation in primary pulmonary carcinomas,CYP1A1,nasal epithelial,up,
Tobacco-Related Alterations in Airway Gene Expression are Rapidly Reversed Within Weeks Following Smoking-Cessation,CYP1A1,nasal epithelial,up,
Tobacco-Related Alterations in Airway Gene Expression are Rapidly Reversed Within Weeks Following Smoking-Cessation,CYP1B1,nasal epithelial,up,
Tobacco-Related Alterations in Airway Gene Expression are Rapidly Reversed Within Weeks Following Smoking-Cessation,ALDH3A1,nasal epithelial,up,
Cigarette smoke extract stimulates bronchial epithelial cells to undergo a SUMOylation turnover,CYP1A1,bronchial epithelial,up,
Impact of acute exposure to cigarette smoke on airway gene expression,ALDH3A1,airway epithelial,up,
Differential gene expression patterns between smokers and non-smokers: cause or consequence?,LRRN3,blood,up,
Differential gene expression patterns between smokers and non-smokers: cause or consequence?,CLDND1,blood,up,
Gene expression in blood reflects smoking exposure among cancer-free women in the Norwegian Women and Cancer (NOWAC) postgenome cohort,LRRN3,blood,up,
Bioinformatics Analysis of the Effects of Tobacco Smoke on Gene Expression,NK1,buccal mucosa,down,
reversible and permenant effects of smoking on gene expression(Beane et.al),CYP1B1,lung epithelial,up,
reversible and permenant effects of smoking on gene expression(Beane et.al),ALDH3A1,lung epithelial,up,
